event_id,event_date,event_ts,lat,lon,aoi_code,aoi_match,district,state,country_name,admin_division_name,landslide_category,landslide_trigger,is_rain_triggered,landslide_size,fatality_count,injury_count,event_title,location_description,location_accuracy,source_name,source_link
57,04/11/2007 12:00:00 AM,2007-04-11 00:00:00+00:00,27.4459,88.6193,SK-GNG,inside,Gangtok,Sikkim,India,nan,landslide,downpour,True,medium,,,"Sikkim, 13 km north of Gangtok","Sikkim, 13 km north of Gangtok",5km,WebIndia123.com,http://news.webindia123.com/news/ar_showdetails.asp?id=704100915&cat=&n_date=20070410
78,05/23/2007 12:00:00 AM,2007-05-23 00:00:00+00:00,27.3383,88.6069,SK-GNG,inside,Gangtok,Sikkim,India,Sikkim,landslide,rain,True,medium,,,"Pangthang, on road b/t Gangtok and North Sikkim","Pangthang, on road b/t Gangtok and North Sikkim",50km,Sikkim times.com,http://www.thestatesman.net/page.arcview.php?clid=10&id=184730&usrsess=1
141,07/26/2007 12:00:00 AM,2007-07-26 00:00:00+00:00,25.38,91.88,ML-EKH,inside,East Khasi Hills,Meghalaya,India,Meghalaya,landslide,rain,True,medium,,,Singtam,Singtam,50km,thestatesman.net,http://www.thestatesman.net/page.news.php?clid=10&theme=&usrsess=1&id=164069
211,08/26/2007 12:00:00 AM,2007-08-26 00:00:00+00:00,24.9667,93.55,MN-NON,inside,Noney,Manipur,India,Manipur,mudslide,continuous_rain,True,medium,1.0,,Tamenglong,Tamenglong,5km,kanglaonline.com,http://www.kanglaonline.com/index.php?template=headline&newsid=39058&typeid=1
212,08/26/2007 12:00:00 AM,2007-08-26 00:00:00+00:00,25.5576,91.8506,ML-EKH,inside,East Khasi Hills,Meghalaya,India,Meghalaya,complex,rain,True,medium,,,National Highway No 44 at Sonarpur in Meghalaya,National Highway No 44 at Sonarpur in Meghalaya,unknown,Newspost India.com,http://newspostindia.com/report-12963
220,08/31/2007 12:00:00 AM,2007-08-31 00:00:00+00:00,25.1333,93.9667,MN-NON,inside,Noney,Manipur,India,Manipur,landslide,rain,True,medium,,,"Velnal village, Tamei sub-division and Toribari village (3 kilometer toward Tamei from Kangpokpi)","Velnal village, Tamei sub-division and Toribari village (3 kilometer toward Tamei from Kangpokpi)",25km,kanglaonline.com,http://www.kanglaonline.com/index.php?template=headline&newsid=39138&typeid=2
241,09/07/2007 12:00:00 AM,2007-09-07 00:00:00+00:00,27.201,88.4883,SK-GNG,near(24.6km),Gangtok,Sikkim,India,nan,landslide,rain,True,large,,,"National Highway 31A between Rangpo and Tarkhola, in East Sikkim","National Highway 31A between Rangpo and Tarkhola, in East Sikkim",25km,thestatesman.net,http://www.thestatesman.net/page.news.php?clid=10&id=169368&usrsess=1
247,09/08/2007 12:00:00 AM,2007-09-08 00:00:00+00:00,25.0604,93.9877,MN-NON,inside,Noney,Manipur,India,Manipur,landslide,rain,True,medium,,,"Lower Shajouba village near Tadubi along NH 39, Manipur ","Lower Shajouba village near Tadubi along NH 39, Manipur ",50km,kanglaonline.com,http://www.kanglaonline.com/index.php?template=headline&newsid=39218&typeid=2
256,09/10/2007 12:00:00 AM,2007-09-10 00:00:00+00:00,27.3425,88.6236,SK-GNG,inside,Gangtok,Sikkim,India,Sikkim,landslide,rain,True,medium,,,Rhodong village near Rhey in East Sikkim,Rhodong village near Rhey in East Sikkim,10km,Telegraph India,http://www.telegraphindia.com/1070911/asp/siliguri/story_8300563.asp
259,09/11/2007 12:00:00 AM,2007-09-11 00:00:00+00:00,25.52,91.27,ML-EKH,inside,East Khasi Hills,Meghalaya,India,Meghalaya,landslide,rain,True,medium,,,"Assam-Agartala National Highway, Sonarpur in Jayantiya hills of Meghalaya","Assam-Agartala National Highway, Sonarpur in Jayantiya hills of Meghalaya",unknown,India times,http://timesofindia.indiatimes.com/India/Flood-hit_Tripura_Mizoram_remain_cut_off_for_seventh_day/articleshow/2380211.cms
260,09/11/2007 12:00:00 AM,2007-09-11 00:00:00+00:00,27.2084,88.4909,SK-GNG,inside,Gangtok,Sikkim,India,nan,debris_flow,rain,True,medium,,,"National Highway 31A, between Singtam and Rangpo","National Highway 31A, between Singtam and Rangpo",5km,thestatesman.net,http://www.thestatesman.net/page.news.php?clid=10&theme=&usrsess=1&id=169578
580,06/09/2008 12:00:00 AM,2008-06-09 00:00:00+00:00,24.6596,93.9784,MN-IMP,near(20.9km),Imphal West,Manipur,India,Manipur,landslide,monsoon,True,medium,,,"near Kuloor church, in Manipur along National Highway","near Kuloor church, in Manipur along National Highway",unknown,daijiworld,"http://www.daijiworld.com/news/news_disp.asp?n_id=47500&n_tit=Mangalore:+Monsoon+Continues+to+Strike;+Landslide,+Houses+Collapse"
594,06/19/2008 12:00:00 AM,2008-06-19 00:00:00+00:00,24.9336,93.8275,MN-NON,inside,Noney,Manipur,India,Manipur,mudslide,monsoon,True,medium,,,"Namkaoluang village, Tamenglong-Sangrung (Khongsang) road, NH-53, Manipur","Namkaoluang village, Tamenglong-Sangrung (Khongsang) road, NH-53, Manipur",25km,kanglaonline,http://www.kanglaonline.com/index.php?template=headline&newsid=42473&typeid=2
755,08/28/2008 12:00:00 AM,2008-08-28 00:00:00+00:00,27.337,88.609,SK-GNG,inside,Gangtok,Sikkim,India,Sikkim,landslide,downpour,True,medium,,,"Ranka, Sikkim and Louing road","Ranka, Sikkim and Louing road",25km,beacononline.wordpress,http://beacononline.wordpress.com/2008/08/31/landslide-victims-being-compensated/
1061,07/01/2009 05:40:00 AM,2009-07-01 05:40:00+00:00,27.478,88.527,SK-GNG,inside,Gangtok,Sikkim,India,nan,landslide,downpour,True,medium,0.0,,Bridge destroyed at 4th Mile,"4th Mile, Lower Mangshila in North Sikkim",1km,Telegraph India,https://www.telegraphindia.com/1090707/jsp/siliguri/story_11202557.jsp
1222,10/05/2009 12:00:00 AM,2009-10-05 00:00:00+00:00,23.73478778,92.72124394,MZ-AIZ,inside,Aizawl,Mizoram,India,Mizoram,landslide,downpour,True,medium,3.0,,"Chhinga Veng, Aizawl","Chhinga Veng, Aizawl",5km,ptinews,http://www.ptinews.com/news/316483_Three-killed--ten-injured-in-Mizoram-landslide
